Proposal Value,Estimated Value
30600.0,30600.0
868087.94,398571.25
40173.350000000006,8891.77
1163114.9000000001,965927.84
90696.51,88643.39
763825.31,765514.2600000001
85730.0,0.0
1032699.3599999999,743507.29
22106.0,20106.0
222948.35,216611.35
15834.04,13128.99
75781.9,43447.0
65282.86,22636.6
226974.0,226981.38
34260.0,34260.0
2683.2,2683.2
22443.2,18624.190000000002
6924.0,6924.0
2088147.3700000003,1102915.45
5409.6,1213.6
28426.7,27806.2
67907.8,57039.2
386039.7,94391.0
128658.5,128658.5
21764.0,21764.0
8357.6,7721.6
6832.0,6832.0
10474.8,10474.8
51865.46,0.0
79960.86,55357.52
56284.57,31553.37
49842.9,49842.9
0.0,0.0
9203.2,9203.2
9259.2,9259.2
7086.0,6606.0
8447.2,7911.7
3180.0,3180.0
18518.5,3706.5
6128.5,6128.5
39669.0,39669.0
4119.5,4119.5
74308.79999999999,116844.29000000001
7293.6,7293.6
251143.46,251143.46
57648.6,57648.6
43985.25,43985.25
401974.12,0.0
7189.0,5882.0
34123.3,12150.9
41044.0,17547.6
36257.4,36394.4
67892.54,35881.0
17863.75,0.0
2577.7,497.7
0.0,0.0
6786.4,6786.4
2582.9,2251.8
436158.4199999999,425243.69999999995
3274.32,0.0
4807.0,3845.6
255982.4,180189.9
252626.38,252626.38
33335.44,33335.44
4314.5,4314.5
0.0,0.0
306325.22,306325.22
3631.6,3631.6
71461.76999999999,65781.76999999999
346161.0,0.0
11005.4,11005.4
0.0,0.0
37624.8,37624.8
106052.86,107060.86
4340.0,4340.0
16944.2,5370.4
777419.9600000001,764234.7100000001
591.1,0.0
2945743.66,2034843.19
27925.6,20112.0
1571734.26,1558167.9800000002
4316.0,0.0
106048.0,106048.0
5911.3,5911.3
14628.0,9436.0
49666.7,51136.0
234514.96000000002,234514.96000000002
93363.0,94124.0
142366.7,72746.1
29236.840000000004,28296.84
5040.0,5040.0
579187.99,516393.05000000005
24980.41,15038.5
4868.5,2200.0
796523.8400000001,435864.0
21820.0,20644.0
910994.0800000001,184881.03
7939.400000000001,7939.400000000001
203428.75,155875.25
313994.05,313994.05
26478.5,23978.5
48222.8,30891.3
7132.0,7402.0
45475.65,12982.2
98427.7,146317.0
3330.0,3330.0
24559.2,825.0
0.0,0.0
12870.0,12870.0
0.0,0.0
5278.5,5278.5
106704.5,86318.14
187888.0,0.0
61838.0,99681.5
15500.0,6470.0
104765.5,104765.5
13520.0,13520.0
750324.96,750324.96
9481.0,9414.5
20350.0,20350.0
137511.5,137511.5
21124.76,7139.12
1405685.07,1405685.07
0.0,0.0
102680.43,102680.43
1673.0,1673.0
16330.0,16330.0
29736.0,22304.0
571658.84,482218.5
25988.0,24500.0
87554.04,87554.04
16392.6,16892.6
1498.0,1498.0
2850.0,2850.0
187715.5,192230.5
6920.0,6920.0
6012.0,6012.0
32851.979999999996,26551.98
862155.0,862155.0
5026.0,1256.5
35658.78,35658.78
51813.0,51813.0
8776.0,7898.4
4713.8,1880.0
8705.7,8705.7
3717.0,0.0
9588.5,9588.5
66224.6,66224.6
4336.0,4336.0
36454.0,0.0
15951.24,15951.24
1970.0,134300.0
